# t	k	Ex	Hy
7.500000	85	-0.043206	-0.041982
7.500000	86	-0.037413	-0.036247
7.500000	87	-0.031471	-0.030368
7.500000	88	-0.025406	-0.024370
7.500000	89	-0.019240	-0.018276
7.500000	90	-0.012999	-0.012109
7.500000	91	-0.006706	-0.005895
7.500000	92	-0.000386	0.000343
7.500000	93	0.005935	0.006579
7.500000	94	0.012232	0.012789
7.500000	95	0.018481	0.018949
7.500000	96	0.024658	0.025034
7.500000	97	0.030737	0.031020
7.500000	98	0.036694	0.036884
7.500000	99	0.042507	0.042602
7.500000	100	0.048152	0.048152
7.500000	101	0.053607	0.053512
7.500000	102	0.058851	0.058661
7.500000	103	0.063862	0.063578
7.500000	104	0.068621	0.068245
7.500000	105	0.073109	0.072642
7.500000	106	0.077309	0.076752
7.500000	107	0.081204	0.080560
7.500000	108	0.084778	0.084049
7.500000	109	0.088018	0.087207
7.500000	110	0.090910	0.090021
7.500000	111	0.093444	0.092479
7.500000	112	0.095609	0.094573
7.500000	113	0.097396	0.096293
7.500000	114	0.098799	0.097633
7.500000	115	0.099812	0.098588
7.500000	116	0.100432	0.099154
7.500000	117	0.100654	0.099328
7.500000	118	0.100480	0.099111
7.500000	119	0.099909	0.098502
7.500000	120	0.098944	0.097505
7.500000	121	0.097588	0.096123
7.500000	122	0.095847	0.094361
7.500000	123	0.093728	0.092227
7.500000	124	0.091239	0.089729
7.500000	125	0.088390	0.086877
7.500000	126	0.085192	0.083682
7.500000	127	0.081658	0.080157
7.500000	128	0.077802	0.076315
7.500000	129	0.073638	0.072173
7.500000	130	0.069184	0.067745
7.500000	131	0.064457	0.063050
7.500000	132	0.059476	0.058107
7.500000	133	0.054260	0.052933
7.500000	134	0.048829	0.047552
7.500000	135	0.043206	0.041982
7.500000	136	0.037413	0.036247
7.500000	137	0.031471	0.030368
7.500000	138	0.025406	0.024370
7.500000	139	0.019240	0.018276
7.500000	140	0.012999	0.012109
7.500000	141	0.006706	0.005895
7.500000	142	0.000386	-0.000343
7.500000	143	-0.005935	-0.006579
7.500000	144	-0.012232	-0.012789
7.500000	145	-0.018481	-0.018949
7.500000	146	-0.024658	-0.025034
7.500000	147	-0.030737	-0.031020
7.500000	148	-0.036694	-0.036884
7.500000	149	-0.042507	-0.042602
7.500000	150	-0.048152	-0.048152
7.500000	151	-0.053607	-0.053512
7.500000	152	-0.058851	-0.058661
7.500000	153	-0.063862	-0.063578
7.500000	154	-0.068621	-0.068245
7.500000	155	-0.073109	-0.072642
7.500000	156	-0.077309	-0.076752
7.500000	157	-0.081204	-0.080560
7.500000	158	-0.084778	-0.084049
7.500000	159	-0.088018	-0.087207
7.500000	160	-0.090910	-0.090021
7.500000	161	-0.093444	-0.092479
7.500000	162	-0.095609	-0.094573
7.500000	163	-0.097396	-0.096293
7.500000	164	-0.098799	-0.097633
7.500000	165	-0.099812	-0.098588
7.500000	166	-0.100432	-0.099154
7.500000	167	-0.100654	-0.099328
7.500000	168	-0.100480	-0.099111
7.500000	169	-0.099909	-0.098502
