Paso;z;Ex;Hy
5;80.8081;-0.0955233;-0.0955233
5;82.8283;-0.0909924;-0.0909924
5;84.8485;-0.0849974;-0.0849974
5;86.8687;-0.0776348;-0.0776348
5;88.8889;-0.069023;-0.069023
5;90.9091;-0.0593006;-0.0593006
5;92.9293;-0.048624;-0.048624
5;94.9495;-0.037165;-0.037165
5;96.9697;-0.025108;-0.025108
5;98.9899;-0.0126471;-0.0126471
5;101.01;1.73742e-005;1.73742e-005
5;103.03;0.0126816;0.0126816
5;105.051;0.0251417;0.0251417
5;107.071;0.0371973;0.0371973
5;109.091;0.0486543;0.0486543
5;111.111;0.0593285;0.0593285
5;113.131;0.0690481;0.0690481
5;115.152;0.0776567;0.0776567
5;117.172;0.0850157;0.0850157
5;119.192;0.0910069;0.0910069
5;121.212;0.0955336;0.0955336
5;123.232;0.0985233;0.0985233
5;125.253;0.0999276;0.0999276
5;127.273;0.099724;0.099724
5;129.293;0.0979159;0.0979159
5;131.313;0.0945323;0.0945323
5;133.333;0.0896276;0.0896276
5;135.354;0.0832807;0.0832807
5;137.374;0.0755939;0.0755939
5;139.394;0.0666907;0.0666907
5;141.414;0.0567144;0.0567144
5;143.434;0.0458256;0.0458256
5;145.455;0.0341994;0.0341994
5;147.475;0.0220229;0.0220229
5;149.495;0.00949212;0.00949212
5;151.515;-0.00319143;-0.00319143
5;153.535;-0.0158236;-0.0158236
5;155.556;-0.0282012;-0.0282012
5;157.576;-0.040125;-0.040125
5;159.596;-0.0514032;-0.0514032
5;161.616;-0.0618543;-0.0618543
5;163.636;-0.0713102;-0.0713102
5;165.657;-0.0796186;-0.0796186
5;167.677;-0.0866459;-0.0866459
5;169.697;-0.0922791;-0.0922791
5;171.717;-0.0964275;-0.0964275
5;173.737;-0.0990243;-0.0990243
5;175.758;-0.100028;-0.100028
5;177.778;-0.0994217;-0.0994217
5;179.798;-0.097216;-0.097216
5;181.818;-0.093446;-0.093446
5;183.838;-0.0881724;-0.0881724
5;185.859;-0.0814802;-0.0814802
5;187.879;-0.0734768;-0.0734768
5;189.899;-0.0642912;-0.0642912
5;191.919;-0.0540711;-0.0540711
5;193.939;-0.0429818;-0.0429818
5;195.96;-0.0311677;-0.0311677
5;197.98;-0.0195478;-0.0195478
5;200;0;0
6;0;0;0
6;2.0202;0.00604532;0.00604532
6;4.0404;0.0177695;0.0177695
6;6.06061;0.0300316;0.0300316
6;8.08081;0.041869;0.041869
6;10.101;0.0530351;0.0530351
6;12.1212;0.0633478;0.0633478
6;14.1414;0.0726413;0.0726413
6;16.1616;0.0807659;0.0807659
6;18.1818;0.087591;0.087591
6;20.202;0.0930066;0.0930066
6;22.2222;0.0969258;0.0969258
6;24.2424;0.0992854;0.0992854
6;26.2626;0.100048;0.100048
6;28.2828;0.0991998;0.0991998
6;30.303;0.0967559;0.0967559
6;32.3232;0.0927552;0.0927552
6;34.3434;0.087262;0.087262
6;36.3636;0.0803647;0.0803647
6;38.3838;0.0721743;0.0721743
6;40.404;0.0628226;0.0628226
6;42.4242;0.0524601;0.0524601
6;44.4444;0.0412535;0.0412535
6;46.4646;0.0293831;0.0293831
6;48.4848;0.0170399;0.0170399
6;50.5051;0.0044225;0.0044225
6;52.5253;-0.00826603;-0.00826603
6;54.5455;-0.0208216;-0.0208216
6;56.5657;-0.0330421;-0.0330421
6;58.5859;-0.0447309;-0.0447309
6;60.6061;-0.0557;-0.0557
6;62.6263;-0.0657729;-0.0657729
6;64.6465;-0.0747874;-0.0747874
6;66.6667;-0.0825986;-0.0825986
6;68.6869;-0.0890808;-0.0890808
6;70.7071;-0.0941296;-0.0941296
6;72.7273;-0.0976639;-0.0976639
6;74.7475;-0.0996267;-0.0996267
6;76.7677;-0.0999864;-0.0999864
6;78.7879;-0.0987373;-0.0987373
6;80.8081;-0.0958996;-0.0958996
6;82.8283;-0.0915187;-0.0915187
6;84.8485;-0.0856653;-0.0856653
6;86.8687;-0.0784335;-0.0784335
6;88.8889;-0.0699397;-0.0699397
6;90.9091;-0.0603205;-0.0603205
6;92.9293;-0.0497307;-0.0497307
6;94.9495;-0.0383408;-0.0383408
6;96.9697;-0.0263339;-0.0263339
6;98.9899;-0.0139034;-0.0139034
6;101.01;-0.00124906;-0.00124906
6;103.03;0.0114253;0.0114253
6;105.051;0.0239159;0.0239159
6;107.071;0.0360216;0.0360216
6;109.091;0.0475478;0.0475478
6;111.111;0.0583089;0.0583089
6;113.131;0.0681317;0.0681317
6;115.152;0.0768583;0.0768583
6;117.172;0.0843482;0.0843482
6;119.192;0.090481;0.090481
6;121.212;0.0951578;0.0951578
6;123.232;0.0983036;0.0983036
6;125.253;0.0998675;0.0998675
6;127.273;0.0998246;0.0998246
6;129.293;0.0981755;0.0981755
6;131.313;0.0949467;0.0949467
6;133.333;0.0901901;0.0901901
6;135.354;0.0839824;0.0839824
6;137.374;0.0764234;0.0764234
6;139.394;0.0676346;0.0676346
6;141.414;0.0577577;0.0577577
6;143.434;0.0469513;0.0469513
6;145.455;0.0353895;0.0353895
6;147.475;0.0232583;0.0232583
6;149.495;0.0107528;0.0107528
6;151.515;-0.00192564;-0.00192564
6;153.535;-0.0145731;-0.0145731
6;155.556;-0.0269861;-0.0269861
6;157.576;-0.0389649;-0.0389649
6;159.596;-0.0503168;-0.0503168
6;161.616;-0.060859;-0.060859
6;163.636;-0.0704219;-0.0704219
6;165.657;-0.0788518;-0.0788518
6;167.677;-0.0860129;-0.0860129
6;169.697;-0.09179;-0.09179
6;171.717;-0.0960902;-0.0960902
6;173.737;-0.0988443;-0.0988443
6;175.758;-0.100008;-0.100008
6;177.778;-0.0995623;-0.0995623
6;179.798;-0.0975148;-0.0975148
6;181.818;-0.0938982;-0.0938982
6;183.838;-0.0887707;-0.0887707
6;185.859;-0.0822149;-0.0822149
6;187.879;-0.0743363;-0.0743363
6;189.899;-0.0652615;-0.0652615
6;191.919;-0.0551366;-0.0551366
6;193.939;-0.044127;-0.044127
6;195.96;-0.0323394;-0.0323394
6;197.98;-0.0211062;-0.0211062
6;200;0;0
7;0;0;0
7;2.0202;0.00515685;0.00515685
7;4.0404;0.0165701;0.0165701
7;6.06061;0.0288266;0.0288266
7;8.08081;0.0407189;0.0407189
7;10.101;0.0519612;0.0519612
7;12.1212;0.0623675;0.0623675
7;14.1414;0.0717704;0.0717704
7;16.1616;0.0800184;0.0800184
7;18.1818;0.0869789;0.0869789
7;20.202;0.0925399;0.0925399
7;22.2222;0.0966119;0.0966119
7;24.2424;0.0991294;0.0991294
7;26.2626;0.100052;0.100052
7;28.2828;0.0993644;0.0993644
7;30.303;0.0970781;0.0970781
7;32.3232;0.0932299;0.0932299
7;34.3434;0.0878815;0.0878815
7;36.3636;0.0811191;0.0811191
7;38.3838;0.0730514;0.0730514
7;40.404;0.0638083;0.0638083
7;42.4242;0.0535386;0.0535386
7;44.4444;0.0424073;0.0424073
7;46.4646;0.0305937;0.0305937
7;48.4848;0.0182879;0.0182879
7;50.5051;0.0056878;0.0056878
7;52.5253;-0.00700383;-0.00700383
7;54.5455;-0.0195828;-0.0195828
7;56.5657;-0.0318466;-0.0318466
7;58.5859;-0.043598;-0.043598
7;60.6061;-0.0546479;-0.0546479
7;62.6263;-0.0648185;-0.0648185
7;64.6465;-0.0739462;-0.0739462
