Paso 0:
x	Temperatura
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 13:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	0
0.244898	5.52741e-13
0.265306	7.54118e-11
0.285714	4.75577e-09
0.306122	1.83635e-07
0.326531	4.84656e-06
0.346939	9.23993e-05
0.367347	0.00131072
0.387755	0.0140329
0.408163	0.113731
0.428571	0.692728
0.44898	3.11273
0.469388	9.9799
0.489796	21.6065
0.510204	28.958
0.530612	21.6065
0.55102	9.9799
0.571429	3.11273
0.591837	0.692728
0.612245	0.113731
0.632653	0.0140329
0.653061	0.00131072
0.673469	9.23993e-05
0.693878	4.84656e-06
0.714286	1.83635e-07
0.734694	4.75577e-09
0.755102	7.54118e-11
0.77551	5.52741e-13
0.795918	0
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 14:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	0
0.22449	4.42377e-14
0.244898	6.49972e-12
0.265306	4.44005e-10
0.285714	1.86975e-08
0.306122	5.42508e-07
0.326531	1.14805e-05
0.346939	0.000182898
0.367347	0.00223141
0.387755	0.0209939
0.408163	0.152091
0.428571	0.84007
0.44898	3.46865
0.469388	10.3608
0.489796	21.2643
0.510204	27.7813
0.530612	21.2643
0.55102	10.3608
0.571429	3.46865
0.591837	0.84007
0.612245	0.152091
0.632653	0.0209939
0.653061	0.00223141
0.673469	0.000182898
0.693878	1.14805e-05
0.714286	5.42508e-07
0.734694	1.86975e-08
0.755102	4.44005e-10
0.77551	6.49972e-12
0.795918	4.42377e-14
0.816327	0
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 15:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	0
0.204082	3.54049e-15
0.22449	5.57351e-13
0.244898	4.09981e-11
0.265306	1.86988e-09
0.285714	5.91589e-08
0.306122	1.37599e-06
0.326531	2.43242e-05
0.346939	0.000333129
0.367347	0.00356909
0.387755	0.0299844
0.408163	0.19666
0.428571	0.995384
0.44898	3.80988
0.469388	10.6819
0.489796	20.9133
0.510204	26.7381
0.530612	20.9133
0.55102	10.6819
0.571429	3.80988
0.591837	0.995384
0.612245	0.19666
0.632653	0.0299844
0.653061	0.00356909
0.673469	0.000333129
0.693878	2.43242e-05
0.714286	1.37599e-06
0.734694	5.91589e-08
0.755102	1.86988e-09
0.77551	4.09981e-11
0.795918	5.57351e-13
0.816327	3.54049e-15
0.836735	0
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 16:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	0
0.183673	2.83357e-16
0.204082	4.75804e-14
0.22449	3.74963e-12
0.244898	1.84133e-10
0.265306	6.30853e-09
0.285714	1.59964e-07
0.306122	3.10722e-06
0.326531	4.72023e-05
0.346939	0.000567399
0.367347	0.00542421
0.387755	0.04121
0.408163	0.247245
0.428571	1.15671
0.44898	4.13461
0.469388	10.9507
0.489796	20.5606
0.510204	25.8057
0.530612	20.5606
0.55102	10.9507
0.571429	4.13461
0.591837	1.15671
0.612245	0.247245
0.632653	0.04121
0.653061	0.00542421
0.673469	0.000567399
0.693878	4.72023e-05
0.714286	3.10722e-06
0.734694	1.59964e-07
0.755102	6.30853e-09
0.77551	1.84133e-10
0.795918	3.74963e-12
0.816327	4.75804e-14
0.836735	2.83357e-16
0.857143	0
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 17:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	0
0.163265	2.2678e-17
0.183673	4.04602e-15
0.204082	3.40083e-13
0.22449	1.789e-11
0.244898	6.59852e-10
0.265306	1.8116e-08
0.285714	3.83546e-07
0.306122	6.40042e-06
0.326531	8.53062e-05
0.346939	0.000914473
0.367347	0.00789956
0.387755	0.0548356
0.408163	0.303543
0.428571	1.32226
0.44898	4.4418
0.469388	11.1743
0.489796	20.2113
0.510204	24.9662
0.530612	20.2113
0.55102	11.1743
0.571429	4.4418
0.591837	1.32226
0.612245	0.303543
0.632653	0.0548356
0.653061	0.00789956
0.673469	0.000914473
0.693878	8.53062e-05
0.714286	6.40042e-06
0.734694	3.83546e-07
0.755102	1.8116e-08
0.77551	6.59852e-10
0.795918	1.789e-11
0.816327	3.40083e-13
0.836735	4.04602e-15
0.857143	2.2678e-17
0.877551	0
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 18:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	0
0.142857	1.815e-18
0.163265	3.42865e-16
0.183673	3.06182e-14
0.204082	1.71777e-12
0.22449	6.78638e-11
0.244898	2.00554e-09
0.265306	4.59654e-08
0.285714	8.35849e-07
0.306122	1.2234e-05
0.326531	0.000145352
0.346939	0.00140715
0.367347	0.011097
0.387755	0.070984
0.408163	0.365169
0.428571	1.49039
0.44898	4.73096
0.469388	11.3587
0.489796	19.8686
0.510204	24.2051
0.530612	19.8686
0.55102	11.3587
0.571429	4.73096
0.591837	1.49039
0.612245	0.365169
0.632653	0.070984
0.653061	0.011097
0.673469	0.00140715
0.693878	0.000145352
0.714286	1.2234e-05
0.734694	8.35849e-07
0.755102	4.59654e-08
0.77551	2.00554e-09
0.795918	6.78638e-11
0.816327	1.71777e-12
0.836735	3.06182e-14
0.857143	3.42865e-16
0.877551	1.815e-18
0.897959	0
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 19:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	0
0.122449	1.4526e-19
0.142857	2.89651e-17
0.163265	2.7386e-15
0.183673	1.63223e-13
0.204082	6.87663e-12
0.22449	2.17649e-10
0.244898	5.36872e-09
0.265306	1.05664e-07
0.285714	1.68486e-06
0.306122	2.19756e-05
0.326531	0.000235684
0.346939	0.00208167
0.367347	0.0151144
0.387755	0.0897357
0.408163	0.43168
0.428571	1.65969
0.44898	5.00205
0.469388	11.5094
0.489796	19.5346
0.510204	23.5109
0.530612	19.5346
0.55102	11.5094
0.571429	5.00205
0.591837	1.65969
0.612245	0.43168
0.632653	0.0897357
0.653061	0.0151144
0.673469	0.00208167
0.693878	0.000235684
0.714286	2.19756e-05
0.734694	1.68486e-06
0.755102	1.05664e-07
0.77551	5.36872e-09
0.795918	2.17649e-10
0.816327	6.87663e-12
0.836735	1.63223e-13
0.857143	2.7386e-15
0.877551	2.89651e-17
0.897959	1.4526e-19
0.918367	0
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 20:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	0
0.102041	1.16257e-20
0.122449	2.44018e-18
0.142857	2.4352e-16
0.163265	1.53659e-14
0.183673	6.87675e-13
0.204082	2.32081e-11
0.22449	6.13038e-10
0.244898	1.29834e-08
0.265306	2.24026e-07
0.285714	3.18241e-06
0.306122	3.74555e-05
0.326531	0.000366321
0.346939	0.00297699
0.367347	0.0200436
0.387755	0.11113
0.408163	0.502595
0.428571	1.82891
0.44898	5.25535
0.469388	11.6308
0.489796	19.2105
0.510204	22.8745
0.530612	19.2105
0.55102	11.6308
0.571429	5.25535
0.591837	1.82891
0.612245	0.502595
0.632653	0.11113
0.653061	0.0200436
0.673469	0.00297699
0.693878	0.000366321
0.714286	3.74555e-05
0.734694	3.18241e-06
0.755102	2.24026e-07
0.77551	1.29834e-08
0.795918	6.13038e-10
0.816327	2.32081e-11
0.836735	6.87675e-13
0.857143	1.53659e-14
0.877551	2.4352e-16
0.897959	2.44018e-18
0.918367	1.16257e-20
0.938776	0
0.959184	0
0.979592	0
1	0
-------------------------
Paso 21:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	0
0.0816327	9.30441e-22
0.102041	2.05061e-19
0.122449	2.15402e-17
0.142857	1.43452e-15
0.163265	6.79627e-14
0.183673	2.43626e-12
0.204082	6.86118e-11
0.22449	1.55588e-09
0.244898	2.88838e-08
0.265306	4.43905e-07
0.285714	5.68863e-06
0.306122	6.10327e-05
0.326531	0.000548941
0.346939	0.00413394
0.367347	0.0259676
0.387755	0.135171
0.408163	0.577414
0.428571	1.99699
0.44898	5.49137
0.469388	11.7272
0.489796	18.8971
0.510204	22.288
0.530612	18.8971
0.55102	11.7272
0.571429	5.49137
0.591837	1.99699
0.612245	0.577414
0.632653	0.135171
0.653061	0.0259676
0.673469	0.00413394
0.693878	0.000548941
0.714286	6.10327e-05
0.734694	5.68863e-06
0.755102	4.43905e-07
0.77551	2.88838e-08
0.795918	1.55588e-09
0.816327	6.86118e-11
0.836735	2.43626e-12
0.857143	6.79627e-14
0.877551	1.43452e-15
0.897959	2.15402e-17
0.918367	2.05061e-19
0.938776	9.30441e-22
0.959184	0
0.979592	0
1	0
-------------------------
Paso 22:
x	Temperatura
0	0
0.0204082	0
0.0408163	0
0.0612245	7.44663e-23
0.0816327	1.71932e-20
0.102041	1.89625e-18
0.122449	1.32918e-16
0.142857	6.64591e-15
0.163265	2.52181e-13
0.183673	7.54296e-12
0.204082	1.82346e-10
0.22449	3.62399e-09
0.244898	5.99122e-08
0.265306	8.30442e-07
0.285714	9.69825e-06
0.306122	9.56523e-05
0.326531	0.000796812
0.346939	0.00559445
0.367347	0.0329601
0.387755	0.161825
0.408163	0.655633
0.428571	2.16304
0.44898	5.71078
0.469388	11.802
0.489796	18.5947
0.510204	21.7452
0.530612	18.5947
0.55102	11.802
0.571429	5.71078
0.591837	2.16304
0.612245	0.655633
0.632653	0.161825
0.653061	0.0329601
0.673469	0.00559445
0.693878	0.000796812
0.714286	9.56523e-05
0.734694	9.69825e-06
0.755102	8.30442e-07
0.77551	5.99122e-08
0.795918	3.62399e-09
0.816327	1.82346e-10
0.836735	7.54296e-12
0.857143	2.52181e-13
0.877551	6.64591e-15
0.897959	1.32918e-16
0.918367	1.89625e-18
0.938776	1.71932e-20
0.959184	7.44663e-23
0.979592	0
1	0
-------------------------
Paso 23:
x	Temperatura
0	0
0.0204082	0
0.0408163	5.95979e-24
0.0612245	1.43858e-21
0.0816327	1.6621e-19
0.102041	1.2232e-17
0.122449	6.43688e-16
0.142857	2.57756e-14
0.163265	8.16035e-13
0.183673	2.09496e-11
0.204082	4.43803e-10
0.22449	7.85348e-09
0.244898	1.17075e-07
0.265306	1.47849e-06
0.285714	1.58677e-05
0.306122	0.000144889
0.326531	0.00112467
0.346939	0.00740064
0.367347	0.0410834
0.387755	0.191033
0.408163	0.736755
0.428571	2.32634
0.44898	5.91434
0.469388	11.8581
0.489796	18.3032
