x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
10.6006,1.03013e-05,0.193456,0.474242,0.530647,0.55091,0.561332,0.567679,0.571951
10.6607,1.03778e-05,0.194332,0.476335,0.532983,0.553333,0.563799,0.570174,0.574464
10.7207,1.04568e-05,0.195119,0.478165,0.535017,0.555441,0.565945,0.572342,0.576648
10.7808,1.05379e-05,0.195808,0.479701,0.536715,0.557197,0.56773,0.574146,0.578464
10.8408,1.0621e-05,0.196397,0.480941,0.538075,0.558599,0.569154,0.575583,0.579909
10.9009,1.07059e-05,0.196897,0.481915,0.539129,0.55968,0.570249,0.576687,0.581019
10.961,1.07926e-05,0.197327,0.482676,0.53994,0.560508,0.571086,0.577528,0.581864
11.021,1.0881e-05,0.197716,0.483306,0.540598,0.561175,0.571758,0.578203,0.58254
11.0811,1.09712e-05,0.198096,0.483897,0.541212,0.561796,0.572381,0.578828,0.583167
11.1411,1.10632e-05,0.198505,0.484555,0.541898,0.562491,0.573081,0.579531,0.583871
11.2012,1.1157e-05,0.198977,0.485379,0.542773,0.563383,0.573982,0.580437,0.58478
11.2613,1.12525e-05,0.199546,0.486464,0.543943,0.564583,0.575196,0.58166,0.58601
11.3213,1.13495e-05,0.200235,0.487882,0.545492,0.566177,0.576813,0.583291,0.587651
11.3814,1.14479e-05,0.201062,0.489682,0.547474,0.568224,0.578893,0.585392,0.589764
11.4414,1.15472e-05,0.202031,0.491881,0.54991,0.570745,0.581458,0.587982,0.592373
11.5015,1.16469e-05,0.203135,0.494464,0.552783,0.573722,0.584488,0.591046,0.595458
11.5616,1.17465e-05,0.204355,0.497381,0.556038,0.577098,0.587927,0.594522,0.59896
11.6216,1.18453e-05,0.205663,0.500553,0.559585,0.580779,0.591677,0.598314,0.60278
11.6817,1.19425e-05,0.207019,0.503877,0.563306,0.584643,0.595614,0.602296,0.606792
11.7417,1.20373e-05,0.20838,0.507232,0.567063,0.588545,0.599591,0.606319,0.610846
11.8018,1.2129e-05,0.209699,0.510486,0.57071,0.592334,0.603452,0.610224,0.614781
11.8619,1.22167e-05,0.21093,0.513515,0.574102,0.595856,0.607042,0.613855,0.618439
11.9219,1.22999e-05,0.21203,0.5162,0.577108,0.598976,0.610221,0.61707,0.621679
11.982,1.23778e-05,0.212967,0.518449,0.579619,0.601582,0.612875,0.619753,0.624382
12.042,1.24501e-05,0.213716,0.520196,0.581561,0.603594,0.614924,0.621824,0.626467
12.1021,1.25163e-05,0.214265,0.521407,0.582898,0.604976,0.616328,0.623242,0.627895
12.1622,1.25762e-05,0.214618,0.522089,0.583636,0.605733,0.617095,0.624015,0.628672
