t_index,z,Ex,Hy
30,24,-1.28549e+10,4.32096e+10
30,25,1.60696e+10,-5.0369e+10
30,26,-1.76019e+10,5.30309e+10
30,27,1.78231e+10,-5.2128e+10
30,28,-1.6989e+10,4.82066e+10
30,29,1.52067e+10,-4.14727e+10
30,30,-1.24995e+10,3.20714e+10
30,31,8.93196e+09,-2.04656e+10
30,32,-4.74045e+09,7.75753e+09
30,33,4.19988e+08,4.17302e+09
30,34,3.26879e+09,-1.27902e+10
30,35,-5.38738e+09,1.53034e+10
30,36,4.99982e+09,-9.31209e+09
30,37,-1.42418e+09,-6.40731e+09
30,38,-5.49072e+09,3.115e+10
30,39,1.51356e+10,-6.18027e+10
30,40,-2.60448e+10,9.28724e+10
30,41,3.60077e+10,-1.17161e+11
30,42,-4.24076e+10,1.2703e+11
30,43,4.27333e+10,-1.15986e+11
30,44,-3.51323e+10,8.01411e+10
30,45,1.88451e+10,-1.91442e+10
30,46,5.60622e+09,-6.36933e+10
30,47,-3.65203e+10,1.62039e+11
30,48,7.135e+10,-2.67684e+11
30,49,-1.07141e+11,3.71809e+11
30,50,1.40946e+11,-4.66064e+11
30,51,-1.70129e+11,5.43336e+11
30,52,1.92574e+11,-5.98289e+11
30,53,-2.06833e+11,6.27828e+11
30,54,2.12278e+11,-6.31565e+11
30,55,-2.09269e+11,6.12197e+11
30,56,1.99241e+11,-5.75525e+11
30,57,-1.84639e+11,5.29845e+11
30,58,1.68578e+11,-4.84531e+11
30,59,-1.54238e+11,4.47996e+11
30,60,1.44099e+11,-4.25465e+11
30,61,-1.39206e+11,4.17244e+11
30,62,1.38733e+11,-4.18142e+11
30,63,-1.40025e+11,4.18422e+11
30,64,1.39191e+11,-4.06218e+11
30,65,-1.32136e+11,3.70831e+11
30,66,1.15747e+11,-3.0594e+11
30,67,-8.88738e+10,2.11672e+11
30,68,5.27472e+10,-9.47706e+10
30,69,-1.06755e+10,-3.32994e+10
30,70,-3.29271e+10,1.59756e+11
30,71,7.38651e+10,-2.74275e+11
30,72,-1.09385e+11,3.7183e+11
30,73,1.38867e+11,-4.53608e+11
30,74,-1.63754e+11,5.25718e+11
30,75,1.86746e+11,-5.96211e+11
30,76,-2.10594e+11,6.71536e+11
30,77,2.36912e+11,-7.53691e+11
30,78,-2.65446e+11,8.3902e+11
