# Coeficientes FIR
6.23687e-19
0.00119497
0.00273108
0.00409819
0.00379426
-2.31292e-18
-0.00790467
-0.0177984
-0.0243611
-0.0204342
5.78923e-18
0.0384284
0.0897121
0.142616
0.183151
0.199528
0.186656
0.148172
0.0950776
0.0415838
6.40502e-18
-0.0231559
-0.0283399
-0.021316
-0.0097778
-2.96438e-18
0.00504614
0.00562764
0.00378294
0.00156734
6.97097e-19
-0.000935489

# Frecuencia (Hz)	Magnitud (dB)
118.625	-13.3893
118.75	-13.4541
118.875	-13.5191
119	-13.5844
119.125	-13.6499
119.25	-13.7156
119.375	-13.7817
119.5	-13.8479
119.625	-13.9144
119.75	-13.9812
119.875	-14.0482
120	-14.1155
120.125	-14.183
120.25	-14.2508
120.375	-14.3188
120.5	-14.3871
120.625	-14.4556
120.75	-14.5244
120.875	-14.5935
121	-14.6628
121.125	-14.7324
121.25	-14.8022
121.375	-14.8723
121.5	-14.9427
121.625	-15.0133
121.75	-15.0843
121.875	-15.1554
122	-15.2269
122.125	-15.2986
122.25	-15.3706
122.375	-15.4429
122.5	-15.5154
122.625	-15.5882
122.75	-15.6613
122.875	-15.7347
123	-15.8084
123.125	-15.8823
123.25	-15.9565
123.375	-16.031
123.5	-16.1058
123.625	-16.1809
123.75	-16.2562
123.875	-16.3319
124	-16.4078
124.125	-16.4841
124.25	-16.5606
124.375	-16.6374
124.5	-16.7145
124.625	-16.792
124.75	-16.8697
124.875	-16.9477
125	-17.026
125.125	-17.1046
125.25	-17.1836
125.375	-17.2628
125.5	-17.3424
125.625	-17.4222
125.75	-17.5024
125.875	-17.5829
126	-17.6636
126.125	-17.7448
126.25	-17.8262
126.375	-17.9079
126.5	-17.99
126.625	-18.0724
126.75	-18.1551
126.875	-18.2382
127	-18.3215
127.125	-18.4052
127.25	-18.4893
127.375	-18.5736
127.5	-18.6583
127.625	-18.7434
127.75	-18.8288
127.875	-18.9145
128	-19.0006
128.125	-19.087
128.25	-19.1737
128.375	-19.2608
128.5	-19.3483
128.625	-19.4361
128.75	-19.5243
128.875	-19.6128
129	-19.7017
129.125	-19.7909
129.25	-19.8805
129.375	-19.9705
129.5	-20.0609
129.625	-20.1516
129.75	-20.2427
129.875	-20.3341
130	-20.426
130.125	-20.5182
130.25	-20.6108
130.375	-20.7038
130.5	-20.7971
130.625	-20.8909
130.75	-20.985
130.875	-21.0796
131	-21.1745
131.125	-21.2699
131.25	-21.3656
131.375	-21.4618
131.5	-21.5583
131.625	-21.6553
131.75	-21.7527
131.875	-21.8505
132	-21.9487
132.125	-22.0474
132.25	-22.1464
132.375	-22.2459
132.5	-22.3458
132.625	-22.4462
132.75	-22.547
132.875	-22.6482
133	-22.7499
133.125	-22.852
133.25	-22.9546
133.375	-23.0576
133.5	-23.1611
133.625	-23.2651
133.75	-23.3695
133.875	-23.4743
134	-23.5797
134.125	-23.6855
134.25	-23.7918
134.375	-23.8986
134.5	-24.0059
134.625	-24.1136
134.75	-24.2219
134.875	-24.3306
135	-24.4399
135.125	-24.5496
135.25	-24.6599
135.375	-24.7707
135.5	-24.8819
135.625	-24.9938
135.75	-25.1061
135.875	-25.219
136	-25.3324
136.125	-25.4464
136.25	-25.5609
136.375	-25.6759
136.5	-25.7915
136.625	-25.9077
136.75	-26.0244
136.875	-26.1417
137	-26.2596
137.125	-26.3781
137.25	-26.4972
137.375	-26.6168
137.5	-26.737
137.625	-26.8579
137.75	-26.9794
137.875	-27.1014
138	-27.2241
138.125	-27.3475
138.25	-27.4714
138.375	-27.596
138.5	-27.7213
138.625	-27.8472
138.75	-27.9738
138.875	-28.101
139	-28.2289
139.125	-28.3575
139.25	-28.4868
139.375	-28.6168
139.5	-28.7475
139.625	-28.8789
139.75	-29.0111
139.875	-29.1439
140	-29.2775
140.125	-29.4119
140.25	-29.547
140.375	-29.6829
140.5	-29.8195
140.625	-29.9569
140.75	-30.0952
140.875	-30.2342
141	-30.374
141.125	-30.5147
141.25	-30.6562
141.375	-30.7986
141.5	-30.9418
141.625	-31.0858
141.75	-31.2308
141.875	-31.3766
142	-31.5234
142.125	-31.671
142.25	-31.8196
142.375	-31.9691
142.5	-32.1196
142.625	-32.2711
142.75	-32.4235
142.875	-32.5769
143	-32.7314
143.125	-32.8868
143.25	-33.0434
143.375	-33.2009
143.5	-33.3596
143.625	-33.5193
143.75	-33.6802
143.875	-33.8422
144	-34.0053
144.125	-34.1696
144.25	-34.3351
144.375	-34.5017
144.5	-34.6696
144.625	-34.8388
144.75	-35.0092
144.875	-35.181
145	-35.354
145.125	-35.5284
145.25	-35.7041
145.375	-35.8812
145.5	-36.0598
145.625	-36.2398
145.75	-36.4213
145.875	-36.6042
146	-36.7887
146.125	-36.9748
146.25	-37.1625
146.375	-37.3518
146.5	-37.5428
146.625	-37.7354
146.75	-37.9299
146.875	-38.126
147	-38.3241
147.125	-38.5239
147.25	-38.7257
147.375	-38.9295
147.5	-39.1352
147.625	-39.343
147.75	-39.5529
147.875	-39.7649
148	-39.9792
148.125	-40.1957
148.25	-40.4146
148.375	-40.6358
148.5	-40.8595
148.625	-41.0858
148.75	-41.3146
148.875	-41.5461
149	-41.7804
149.125	-42.0175
149.25	-42.2575
149.375	-42.5005
149.5	-42.7467
149.625	-42.9961
149.75	-43.2488
149.875	-43.5049
150	-43.7646
150.125	-44.028
150.25	-44.2952
150.375	-44.5663
150.5	-44.8415
150.625	-45.121
150.75	-45.4049
150.875	-45.6934
151	-45.9866
151.125	-46.2848
151.25	-46.5883
151.375	-46.8971
151.5	-47.2115
151.625	-47.5319
151.75	-47.8584
151.875	-48.1914
152	-48.5312
152.125	-48.878
152.25	-49.2322
152.375	-49.5943
152.5	-49.9646
152.625	-50.3436
152.75	-50.7316
152.875	-51.1292
153	-51.537
153.125	-51.9554
153.25	-52.385
153.375	-52.8265
153.5	-53.2806
153.625	-53.7478
153.75	-54.2289
153.875	-54.7245
154	-55.2354
154.125	-55.762
154.25	-56.305
154.375	-56.8645
154.5	-57.4405
154.625	-58.0327
154.75	-58.6398
154.875	-59.2598
155	-59.8891
155.125	-60.5221
155.25	-61.151
155.375	-61.7643
155.5	-62.3468
155.625	-62.8797
155.75	-63.3408
155.875	-63.7074
156	-63.96
156.125	-64.086
156.25	-64.0835
156.375	-63.9618
156.5	-63.7385
156.625	-63.4357
156.75	-63.0761
156.875	-62.6799
157	-62.2634
157.125	-61.8393
157.25	-61.4167
157.375	-61.0018
157.5	-60.5988
157.625	-60.2101
157.75	-59.8373
157.875	-59.481
158	-59.1413
158.125	-58.8181
158.25	-58.5109
158.375	-58.2192
158.5	-57.9423
158.625	-57.6795
158.75	-57.4302
158.875	-57.1937
159	-56.9693
159.125	-56.7564
159.25	-56.5545
159.375	-56.3629
159.5	-56.1811
159.625	-56.0086
159.75	-55.845
159.875	-55.6899
160	-55.5427
160.125	-55.4032
160.25	-55.271
160.375	-55.1457
160.5	-55.027
160.625	-54.9147
160.75	-54.8084
160.875	-54.7079
161	-54.6131
161.125	-54.5235
161.25	-54.4391
161.375	-54.3596
161.5	-54.2849
161.625	-54.2147
161.75	-54.149
161.875	-54.0874
162	-54.03
162.125	-53.9765
162.25	-53.9268
162.375	-53.8809
162.5	-53.8385
162.625	-53.7995
