# z	 E	 H
#t = 0
2.9	0.0942325	0.0939462
3	0.0919176	0.0916364
3.1	0.0892399	0.088965
3.2	0.08621	0.0859425
3.3	0.0828399	0.0825809
3.4	0.0791429	0.0788933
3.5	0.0751335	0.0748943
3.6	0.0708276	0.0705998
3.7	0.0662422	0.0660267
3.8	0.0613953	0.061193
3.9	0.0563062	0.0561178
4	0.0509948	0.0508211
4.1	0.0454822	0.0453238
4.2	0.0397901	0.0396477
4.3	0.033941	0.0338151
4.4	0.0279579	0.0278491
4.5	0.0218644	0.0217731
4.6	0.0156847	0.0156112
4.7	0.00944311	0.00938772
4.8	0.00316422	0.00312717
4.9	-0.00312716	-0.00314572
5	-0.00940619	-0.00940619
5.1	-0.0156481	-0.0156295
5.2	-0.0218283	-0.0217912
5.3	-0.0279223	-0.0278669
5.4	-0.0339061	-0.0338326
5.5	-0.0397561	-0.0396647
5.6	-0.0454492	-0.0453404
5.7	-0.0509629	-0.0508371
5.8	-0.0562755	-0.0561331
5.9	-0.061366	-0.0612077
6	-0.0662144	-0.0660406
6.1	-0.0708014	-0.070613
6.2	-0.075109	-0.0749066
6.3	-0.0791201	-0.0789047
6.4	-0.0828191	-0.0825913
6.5	-0.0861911	-0.085952
6.6	-0.0892231	-0.0889735
6.7	-0.0919028	-0.0916438
6.8	-0.0942199	-0.0939525
6.9	-0.0961652	-0.0958903
7	-0.0977309	-0.0974498
7.1	-0.0989109	-0.0986246
7.2	-0.0997006	-0.0994103
7.3	-0.100097	-0.0998035
7.4	-0.100098	-0.099803
7.5	-0.0997041	-0.0994085
7.6	-0.0989167	-0.0986217
7.7	-0.097739	-0.0974457
7.8	-0.0961755	-0.0958852
7.9	-0.0942325	-0.0939462
8	-0.0919176	-0.0916364
8.1	-0.0892399	-0.088965
8.2	-0.08621	-0.0859425
8.3	-0.0828399	-0.0825809
8.4	-0.0791429	-0.0788933
8.5	-0.0751335	-0.0748943
8.6	-0.0708276	-0.0705998
8.7	-0.0662422	-0.0660267
8.8	-0.0613953	-0.061193
8.9	-0.0563062	-0.0561178
9	-0.0509948	-0.0508211
9.1	-0.0454822	-0.0453238
9.2	-0.0397901	-0.0396477
9.3	-0.033941	-0.0338151
9.4	-0.0279579	-0.0278491
9.5	-0.0218644	-0.0217731
9.6	-0.0156847	-0.0156112
9.7	-0.00944311	-0.00938772
9.8	-0.00316422	-0.00312717
9.9	0.00312716	0.00314572
10	0.00940619	0.00940619
10.1	0.0156481	0.0156295
10.2	0.0218283	0.0217912
10.3	0.0279223	0.0278669
10.4	0.0339061	0.0338326
10.5	0.0397561	0.0396647
10.6	0.0454492	0.0453404
10.7	0.0509629	0.0508371
10.8	0.0562755	0.0561331
10.9	0.061366	0.0612077
11	0.0662144	0.0660406
11.1	0.0708014	0.070613
11.2	0.075109	0.0749066
11.3	0.0791201	0.0789047
11.4	0.0828191	0.0825913
11.5	0.0861911	0.085952
11.6	0.0892231	0.0889735
11.7	0.0919028	0.0916438
11.8	0.0942199	0.0939525
11.9	0.0961652	0.0958903
12	0.0977309	0.0974498
12.1	0.0989109	0.0986246
12.2	0.0997006	0.0994103
12.3	0.100097	0.0998035
12.4	0.100098	0.099803
12.5	0.0997041	0.0994085
12.6	0.0989167	0.0986217
12.7	0.097739	0.0974457
12.8	0.0961755	0.0958852
12.9	0.0942325	0.0939462
13	0.0919176	0.0916364
13.1	0.0892399	0.088965
13.2	0.08621	0.0859425
13.3	0.0828399	0.0825809
13.4	0.0791429	0.0788933
13.5	0.0751335	0.0748943
13.6	0.0708276	0.0705998
13.7	0.0662422	0.0660267
13.8	0.0613953	0.061193
13.9	0.0563062	0.0561178
14	0.0509948	0.0508211
14.1	0.0454822	0.0453238
14.2	0.0397901	0.0396477
14.3	0.033941	0.0338151
14.4	0.0279579	0.0278491
14.5	0.0218644	0.0217731
