Paso;z;Ex;Hy
4;40.404;0.0862469;0.0862469
4;42.4242;0.0786447;0.0786447
4;44.4444;0.069777;0.069777
4;46.4646;0.0597866;0.0597866
4;48.4848;0.0488342;0.0488342
4;50.5051;0.037096;0.037096
4;52.5253;0.024761;0.024761
4;54.5455;0.0120275;0.0120275
4;56.5657;-0.000899459;-0.000899459
4;58.5859;-0.013812;-0.013812
4;60.6061;-0.0265023;-0.0265023
4;62.6263;-0.0387661;-0.0387661
4;64.6465;-0.0504062;-0.0504062
4;66.6667;-0.0612352;-0.0612352
4;68.6869;-0.0710789;-0.0710789
4;70.7071;-0.079779;-0.079779
4;72.7273;-0.0871954;-0.0871954
4;74.7475;-0.0932087;-0.0932087
4;76.7677;-0.0977223;-0.0977223
4;78.7879;-0.100664;-0.100664
4;80.8081;-0.101985;-0.101985
4;82.8283;-0.101666;-0.101666
4;84.8485;-0.0997102;-0.0997102
4;86.8687;-0.0961506;-0.0961506
4;88.8889;-0.0910438;-0.0910438
4;90.9091;-0.0844721;-0.0844721
4;92.9293;-0.0765411;-0.0765411
4;94.9495;-0.0673787;-0.0673787
4;96.9697;-0.057132;-0.057132
4;98.9899;-0.0459661;-0.0459661
4;101.01;-0.0340606;-0.0340606
4;103.03;-0.0216071;-0.0216071
4;105.051;-0.00880583;-0.00880583
4;107.071;0.00413709;0.00413709
4;109.091;0.0170134;0.0170134
4;111.111;0.029616;0.029616
4;113.131;0.0417421;0.0417421
4;115.152;0.0531965;0.0531965
4;117.172;0.063795;0.063795
4;119.192;0.073367;0.073367
4;121.212;0.0817585;0.0817585
4;123.232;0.0888344;0.0888344
4;125.253;0.094481;0.094481
4;127.273;0.0986073;0.0986073
4;129.293;0.101147;0.101147
4;131.313;0.102059;0.102059
4;133.333;0.101329;0.101329
4;135.354;0.0989689;0.0989689
4;137.374;0.0950161;0.0950161
4;139.394;0.0895344;0.0895344
4;141.414;0.0826121;0.0826121
4;143.434;0.0743606;0.0743606
4;145.455;0.0649125;0.0649125
4;147.475;0.05442;0.05442
4;149.495;0.0430518;0.0430518
4;151.515;0.0309909;0.0309909
4;153.535;0.0184314;0.0184314
4;155.556;0.00557526;0.00557526
4;157.576;-0.00737056;-0.00737056
4;159.596;-0.0201978;-0.0201978
4;161.616;-0.0327;-0.0327
4;163.636;-0.0446761;-0.0446761
4;165.657;-0.0559333;-0.0559333
4;167.677;-0.0662905;-0.0662905
4;169.697;-0.0755811;-0.0755811
4;171.717;-0.0836556;-0.0836556
4;173.737;-0.090384;-0.090384
4;175.758;-0.0956581;-0.0956581
4;177.778;-0.099393;-0.099393
4;179.798;-0.101529;-0.101529
4;181.818;-0.102031;-0.102031
4;183.838;-0.100891;-0.100891
4;185.859;-0.098128;-0.098128
4;187.879;-0.093786;-0.093786
4;189.899;-0.087935;-0.087935
4;191.919;-0.080669;-0.080669
4;193.939;-0.0727532;-0.0727532
4;195.96;-0.0558994;-0.0558994
4;197.98;-0.0752691;-0.0752691
4;200;0;0
5;0;0;0
5;2.0202;-0.000771707;-0.000771707
5;4.0404;-0.00978879;-0.00978879
5;6.06061;-0.0094318;-0.0094318
5;8.08081;0.00057552;0.00057552
5;10.101;0.0133;0.0133
5;12.1212;0.0260697;0.0260697
5;14.1414;0.03842;0.03842
5;16.1616;0.0501521;0.0501521
5;18.1818;0.0610772;0.0610772
5;20.202;0.0710195;0.0710195
5;22.2222;0.0798191;0.0798191
5;24.2424;0.0873344;0.0873344
5;26.2626;0.0934445;0.0934445
5;28.2828;0.098051;0.098051
5;30.303;0.10108;0.10108
5;32.3232;0.102482;0.102482
5;34.3434;0.102236;0.102236
5;36.3636;0.100344;0.100344
5;38.3838;0.0968379;0.0968379
5;40.404;0.0917736;0.0917736
5;42.4242;0.0852326;0.0852326
5;44.4444;0.0773202;0.0773202
5;46.4646;0.0681637;0.0681637
5;48.4848;0.0579104;0.0579104
5;50.5051;0.0467253;0.0467253
5;52.5253;0.0347884;0.0347884
5;54.5455;0.0222917;0.0222917
5;56.5657;0.00943634;0.00943634
5;58.5859;-0.00357086;-0.00357086
5;60.6061;-0.0165206;-0.0165206
5;62.6263;-0.0292045;-0.0292045
5;64.6465;-0.0414185;-0.0414185
5;66.6667;-0.0529661;-0.0529661
5;68.6869;-0.0636614;-0.0636614
5;70.7071;-0.0733324;-0.0733324
5;72.7273;-0.0818235;-0.0818235
5;74.7475;-0.0889979;-0.0889979
5;76.7677;-0.0947404;-0.0947404
5;78.7879;-0.0989585;-0.0989585
5;80.8081;-0.101584;-0.101584
5;82.8283;-0.102575;-0.102575
5;84.8485;-0.101916;-0.101916
5;86.8687;-0.0996171;-0.0996171
5;88.8889;-0.0957152;-0.0957152
5;90.9091;-0.0902731;-0.0902731
5;92.9293;-0.0833785;-0.0833785
5;94.9495;-0.0751423;-0.0751423
5;96.9697;-0.0656971;-0.0656971
5;98.9899;-0.0551947;-0.0551947
5;101.01;-0.0438043;-0.0438043
5;103.03;-0.031709;-0.031709
5;105.051;-0.0191035;-0.0191035
5;107.071;-0.00619062;-0.00619062
5;109.091;0.00682186;0.00682186
5;111.111;0.0197246;0.0197246
5;113.131;0.0323099;0.0323099
5;115.152;0.0443754;0.0443754
5;117.172;0.0557268;0.0557268
5;119.192;0.0661816;0.0661816
5;121.212;0.0755715;0.0755715
5;123.232;0.0837454;0.0837454
5;125.253;0.0905718;0.0905718
5;127.273;0.0959409;0.0959409
5;129.293;0.0997663;0.0997663
5;131.313;0.101986;0.101986
5;133.333;0.102565;0.102565
5;135.354;0.101494;0.101494
5;137.374;0.0987899;0.0987899
5;139.394;0.094496;0.094496
5;141.414;0.0886817;0.0886817
5;143.434;0.0814404;0.0814404
5;145.455;0.0728887;0.0728887
5;147.475;0.0631642;0.0631642
5;149.495;0.0524234;0.0524234
5;151.515;0.0408391;0.0408391
5;153.535;0.0285976;0.0285976
5;155.556;0.015896;0.015896
5;157.576;0.00293866;0.00293866
5;159.596;-0.010066;-0.010066
5;161.616;-0.0229087;-0.0229087
5;163.636;-0.0353828;-0.0353828
5;165.657;-0.0472875;-0.0472875
5;167.677;-0.0584314;-0.0584314
5;169.697;-0.0686351;-0.0686351
5;171.717;-0.0777344;-0.0777344
5;173.737;-0.085583;-0.085583
5;175.758;-0.0920545;-0.0920545
5;177.778;-0.0970448;-0.0970448
5;179.798;-0.100474;-0.100474
5;181.818;-0.102286;-0.102286
5;183.838;-0.102452;-0.102452
5;185.859;-0.10097;-0.10097
5;187.879;-0.0978632;-0.0978632
5;189.899;-0.0931817;-0.0931817
5;191.919;-0.0867417;-0.0867417
5;193.939;-0.0826611;-0.0826611
5;195.96;-0.0548931;-0.0548931
5;197.98;-0.0976289;-0.0976289
5;200;0;0
6;0;0;0
6;2.0202;0.00314381;0.00314381
6;4.0404;-0.00632476;-0.00632476
6;6.06061;-0.0135775;-0.0135775
6;8.08081;-0.0085172;-0.0085172
6;10.101;0.00310231;0.00310231
6;12.1212;0.0160217;0.0160217
6;14.1414;0.0287871;0.0287871
6;16.1616;0.0410892;0.0410892
6;18.1818;0.0527302;0.0527302
6;20.202;0.0635227;0.0635227
6;22.2222;0.0732932;0.0732932
6;24.2424;0.0818843;0.0818843
6;26.2626;0.0891579;0.0891579
6;28.2828;0.0949969;0.0949969
6;30.303;0.0993073;0.0993073
6;32.3232;0.10202;0.10202
6;34.3434;0.103091;0.103091
6;36.3636;0.102503;0.102503
6;38.3838;0.100266;0.100266
6;40.404;0.0964157;0.0964157
