# Tiempo: 0.000000
# k	zE	zH	Ex	Hy
107	107.0000000000	107.5000000000	0.0425779292	0.0453990500
108	108.0000000000	108.5000000000	0.0481753674	0.0509041416
109	109.0000000000	109.5000000000	0.0535826795	0.0562083378
110	110.0000000000	110.5000000000	0.0587785252	0.0612907054
111	111.0000000000	111.5000000000	0.0637423990	0.0661311865
112	112.0000000000	112.5000000000	0.0684547106	0.0707106781
113	113.0000000000	113.5000000000	0.0728968627	0.0750111070
114	114.0000000000	114.5000000000	0.0770513243	0.0790155012
115	115.0000000000	115.5000000000	0.0809016994	0.0827080574
116	116.0000000000	116.5000000000	0.0844327926	0.0860742027
117	117.0000000000	117.5000000000	0.0876306680	0.0891006524
118	118.0000000000	118.5000000000	0.0904827052	0.0917754626
119	119.0000000000	119.5000000000	0.0929776486	0.0940880769
120	120.0000000000	120.5000000000	0.0951056516	0.0960293686
121	121.0000000000	121.5000000000	0.0968583161	0.0975916762
122	122.0000000000	122.5000000000	0.0982287251	0.0987688341
123	123.0000000000	123.5000000000	0.0992114701	0.0995561965
124	124.0000000000	124.5000000000	0.0998026728	0.0999506560
125	125.0000000000	125.5000000000	0.1000000000	0.0999506560
126	126.0000000000	126.5000000000	0.0998026728	0.0995561965
127	127.0000000000	127.5000000000	0.0992114701	0.0987688341
128	128.0000000000	128.5000000000	0.0982287251	0.0975916762
129	129.0000000000	129.5000000000	0.0968583161	0.0960293686
130	130.0000000000	130.5000000000	0.0951056516	0.0940880769
131	131.0000000000	131.5000000000	0.0929776486	0.0917754626
132	132.0000000000	132.5000000000	0.0904827052	0.0891006524
133	133.0000000000	133.5000000000	0.0876306680	0.0860742027
134	134.0000000000	134.5000000000	0.0844327926	0.0827080574
135	135.0000000000	135.5000000000	0.0809016994	0.0790155012
136	136.0000000000	136.5000000000	0.0770513243	0.0750111070
137	137.0000000000	137.5000000000	0.0728968627	0.0707106781
138	138.0000000000	138.5000000000	0.0684547106	0.0661311865
139	139.0000000000	139.5000000000	0.0637423990	0.0612907054
140	140.0000000000	140.5000000000	0.0587785252	0.0562083378
141	141.0000000000	141.5000000000	0.0535826795	0.0509041416
142	142.0000000000	142.5000000000	0.0481753674	0.0453990500
143	143.0000000000	143.5000000000	0.0425779292	0.0397147891
144	144.0000000000	144.5000000000	0.0368124553	0.0338737920
145	145.0000000000	145.5000000000	0.0309016994	0.0278991106
146	146.0000000000	146.5000000000	0.0248689887	0.0218143241
147	147.0000000000	147.5000000000	0.0187381315	0.0156434465
148	148.0000000000	148.5000000000	0.0125333234	0.0094108313
149	149.0000000000	149.5000000000	0.0062790520	0.0031410759
150	150.0000000000	150.5000000000	0.0000000000	-0.0031410759
151	151.0000000000	151.5000000000	-0.0062790520	-0.0094108313
152	152.0000000000	152.5000000000	-0.0125333234	-0.0156434465
153	153.0000000000	153.5000000000	-0.0187381315	-0.0218143241
154	154.0000000000	154.5000000000	-0.0248689887	-0.0278991106
155	155.0000000000	155.5000000000	-0.0309016994	-0.0338737920
156	156.0000000000	156.5000000000	-0.0368124553	-0.0397147891
157	157.0000000000	157.5000000000	-0.0425779292	-0.0453990500
158	158.0000000000	158.5000000000	-0.0481753674	-0.0509041416
159	159.0000000000	159.5000000000	-0.0535826795	-0.0562083378
